,anio_inicio,mes_inicio,fecha_inicio,hora_inicio,anio_hecho,mes_hecho,fecha_hecho,hora_hecho,delito,categoria_delito,fiscalia,agencia,colonia_hecho,colonia_catalogo,alcaldia_hecho,alcaldia_catalogo,latitud,longitud,fecha_hora_hecho,dia_semana_hecho,dia_semana,conteo_delitos
33169,2018,JUNIO,2018-06-04,00:00:00,2018.0,6,2018-06-01,19,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,INVESTIGACION EN MIGUEL HIDALGO,MH-4,ESCANDON I SECCION,ESCANDON I SECCION,MIGUEL HIDALGO,MIGUEL HIDALGO,19.40137,-99.18222,2018-06-01 19:00:00,4,Friday,863
65909,2021,ENERO,2021-01-09,00:00:00,2021.0,1,2021-01-09,12,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,FISCALIA DE INVESTIGACION TERRITORIAL EN GUSTAVO A. MADERO,GAM-5,NUEVA ATZACOALCO,NUEVA ATZACOALCO,GUSTAVO A. MADERO,GUSTAVO A. MADERO,19.50145,-99.07978,2021-01-09 12:30:00,5,Saturday,1120
49111,2019,ABRIL,2019-04-08,00:00:00,2019.0,3,2019-03-31,9,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,INVESTIGACION EN IZTAPALAPA,IZP-2,VALLE DEL SUR,VALLE DEL SUR,IZTAPALAPA,IZTAPALAPA,19.34719,-99.11551,2019-03-31 09:00:00,6,Sunday,2122
82819,2022,DICIEMBRE,2022-12-27,06:03:57,2022.0,12,2022-12-15,8,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,AGENCIA DE DENUNCIA DIGITAL,CEN-2,CUAUHTEMOC,CUAUHTEMOC,CUAUHTEMOC,CUAUHTEMOC,19.4336528762994,-99.1687716500949,2022-12-15 08:00:00,3,Thursday,2175
66923,2021,FEBRERO,2021-02-23,00:00:00,2021.0,2,2021-02-23,7,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,AGENCIA DE DENUNCIA DIGITAL,CEN-1,MORELOS,MORELOS,CUAUHTEMOC,CUAUHTEMOC,19.4516,-99.12609,2021-02-23 07:00:00,1,Tuesday,1823
24071,2017,NOVIEMBRE,2017-11-30,00:00:00,2017.0,11,2017-11-30,19,ROBO A TRANSEUNTE DE CELULAR SIN VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACION EN BENITO JUAREZ,BJ-5,ALBERT,ALBERT,BENITO JUAREZ,BENITO JUAREZ,19.36995,-99.14138,2017-11-30 19:45:00,3,Thursday,924
68605,2021,MAYO,2021-05-05,00:00:00,2021.0,5,2021-05-04,22,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,FISCALIA DE INVESTIGACION TERRITORIAL EN MIGUEL HIDALGO,MH-1,TACUBA,TACUBA,MIGUEL HIDALGO,MIGUEL HIDALGO,19.45942,-99.18839,2021-05-04 22:20:00,1,Tuesday,835
57294,2019,DICIEMBRE,2019-12-13,00:00:00,2019.0,12,2019-12-06,16,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,INVESTIGACION EN CUAUHTEMOC,CUH-2,SANTA MARIA LA RIBERA,SANTA MARIA LA RIBERA,CUAUHTEMOC,CUAUHTEMOC,19.44242,-99.16148,2019-12-06 16:00:00,4,Friday,2175
63798,2020,OCTUBRE,2020-10-09,00:00:00,2020.0,10,2020-10-09,14,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,FISCALIA DE INVESTIGACION TERRITORIAL EN MIGUEL HIDALGO,MH-4,SAN MIGUEL CHAPULTEPEC,SAN MIGUEL CHAPULTEPEC II SECCION,MIGUEL HIDALGO,MIGUEL HIDALGO,19.41942,-99.17797,2020-10-09 14:30:00,4,Friday,883
20011,2017,SEPTIEMBRE,2017-09-11,00:00:00,2017.0,9,2017-09-02,13,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACION EN GUSTAVO A. MADERO,GAM-3,LINDAVISTA,LINDAVISTA SUR,GUSTAVO A. MADERO,GUSTAVO A. MADERO,19.49112,-99.1341,2017-09-02 13:55:00,5,Saturday,1110
